"id","product","price","seller","city","rating","sold"
96,"Kylafood Paket Paket 2 Seblak Cup + 4 Seblak Autentik",83400,"kylafood","Bandung","NaN",25
97,"sagu mini / okesnack",13000,"oke snack","Jakarta Selatan","NaN",250
98,"Kylafood Seblak Kwetiaw",23500,"kylafood","Bandung","NaN",4000
99,"cemilan keripik tahu",30000,"oke snack","Jakarta Selatan","NaN",250
100,"Kylafood Seblak Mie Baso",27500,"kylafood","Bandung","NaN",4000
101,"Seblak Instant Nagih | Seblak + Baso Aci Jajanan Milenial",11960,"vieka mart official","Tangerang Selatan","4.3",19
102,"PAKET BLAKKUR ( SEBLAK INSTAN, PILUS CIKUR PEDAS JERUK)",35000,"Sajodo Snack & Food","Tasikmalaya","5",13
103,"Seblak Sultan instant",14000,"Sultan Meat Shop","Medan","4.8",250
104,"Seblak Juara ! Seblak Instan Rasa Original",115000,"Rasa Juara Indonesia","Kab. Bandung","4.9",2000
105,"SEBLAK INSTAN SEEFOOD KOMPLIT",13000,"shyfa snack","Kab. Sidoarjo","5",3
106,"Seblak Seafood Instan",7500,"Cemilan Malang","Malang","4.8",20
107,"Seblak Instan BangSatria Seuhah ( Paket 2 pcs)",54000,"Sempurna Saji","Jakarta Selatan","NaN",0
108,"SEBLAK INSTAN MADIT",14000,"DAPUR SEBLAK MADIT","Medan","4.8",100
109,"baso aci special telor daging, boci, bakso aci, cuanki, seblak instan",10000,"baso aci masabi","Jakarta Selatan","4.8",1000
110,"seblak instan purwakarta",4500,"cemilan instan purwakarta","Kab. Purwakarta","4.9",750
111,"Emping Balado 130g",13599,"oke snack","Jakarta Selatan","NaN",250
112,"Kylafood Seblak Rempah Autentik Isi (24pcs)",309600,"kylafood","Bandung","NaN",14
113,"jagung marning 250 gr",16000,"oke snack","Jakarta Selatan","NaN",500
114,"Kylafood Seblak Kwetiaw play",23500,"kylafood","Bandung","NaN",500
115,"cemilan chesstick special 250 gr",25000,"oke snack","Jakarta Selatan","NaN",500
116,"PAKET 12PCS..4pcs boci,4pcs seblak mie,4pcs cuanki instan",31999,"sumber rezeuki","Kab. Garut","NaN",0
117,"Koki Jempol Kuah Seblak Instan Bumbu Halal 60 gram",4990,"Momoto Food Supplier","Surabaya","5",100
118,"seblak instan",17000,"MasitohCiheaOfficial","Bandung","5",1000
119,"seblak basah instant ekonomis",5000,"Kickball Official","Bandung","4.6",100
120,"seblak instan seblak kuah seblak murah nay ismail",2999,"nayismail","Cimahi","4.5",30
121,"[PROMO!!] BASRANGER Seblak Instant EXTRA PEDAS 200gr - seblak nikmat",13999,"JM Snacks","Bandung","4.9",100
122,"seblak instan bandung",6582,"TokoTemenMakan","Kab. Bandung","4.8",10000
123,"Seblak Instan Sajodo Extra Pedas Best Seller Khas Tasikmalaya",22700,"Gerai Snack Official Shop","Kab. Tangerang","NaN",4
124,"INDOMIE MI INSTANT RASA SEBLAK HOT JELET",2900,"Hypermart Metro Trade Center Bandung","Bandung","4.9",500
125,"Seblak Instant Carla 100 gr",13000,"Rahmatika Freshmart","Tangerang Selatan","5",30
126,"Kylafood Seblak karuhun",13500,"kylafood","Bandung","NaN",5000
127,"cemilan moggi coklat",10000,"oke snack","Jakarta Selatan","NaN",100
128,"Kylafood Seblak Rempah Autentik isi (10pcs)",129000,"kylafood","Bandung","NaN",100
129,"Mie Lebar homemade tanpa bumbu MIE BANDUNG ACHEN mentah mie frozen yamin yamien 100%halal",8000,"Mie Bandung Achen","Kab. Bandung Barat","NaN",0
130,"Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah",50000,"kylafood","Bandung","NaN",250
131,"seblak instan",4000,"haufanza","Bandung","5",250
132,"Mommy Seblak Instant",15000,"UnikidsOnline","Jakarta Barat","4.7",100
133,"Seblak instan cuanki/Seblak instan murah/Seblak instan mie",4889,"Komasnack","Kab. Mojokerto","5",10
134,"Seblak instan seblak dhero seblak kering cemilan kekkinian",15000,"Lestarishop24","Banjar","5",500
135,"Seblak instan makanan jajanan khas Bandung",3500,"jajanan bandoeng01","Kab. Bandung","NaN",0
136,"Seblak Instan KSN",10200,"Ohayo Bento New","Jakarta Timur","4.9",80
137,"Seblak Instant Komplit Frozen",20000,"Knads","Bekasi","NaN",0
138,"baso aci, bakso aci, cuanki, seblak instan, boci",8000,"baso aci masabi","Jakarta Selatan","4.8",2000
139,"MOMMY Seblak Basah Instan",20160,"Toserdas Oleh Oleh dan Snack Kekinian","Surakarta","NaN",30
140,"Seblak instan original",15000,"Rumah Seblak, Bandung","Kab. Bekasi","4.8",100
141,"seblak frozen instan seblak rafael",10000,"Kunyahhfood","Kab. Bogor","5",50
142,"Seblak Instant khas Garut isi banyak",4800,"Keripix id","Kab. Garut","4.9",90
143,"SEBLAK INSTAN BASO ACI MIE ENAK",5500,"Cemilan-Ce","Kab. Sidoarjo","5",50
144,"Seblak Instan Premium Bangsatria",32000,"MAKKRESS ENAK","Tangerang Selatan","NaN",0
145,"PAKET HEMAT 3 PACK SEBLAK BLAKAN | Seblak & Baso Aci Instan",51000,"seblakblakan","Kab. Sukabumi","5",7
146,"PAKET BUNDLING 10, SEBLAK INSTAN 5PCS MIX CUANKI INSTAN 5PCS Hotpot Instan Food Kaldu Kuah Seblak",30900,"Warungceria2020","Kab. Garut","4.7",16
147,"INDOMIE MI INSTANT RASA SEBLAK HOT JELETOT 75G",2790,"Hyfresh Bandung Indah Plaza","Bandung","4.9",250
148,"Seblak Instant Carla With Batagor and Siomay Jajanan Khas Bandung",13500,"Enpea","Tangerang Selatan","5",20
149,"seblak instan hemat",6500,"Suncity.","Kab. Tangerang","4.8",1000
150,"[PUTRI] Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan",17000,"Central Seblak Nusantara","Tangerang Selatan","5",1000
151,"Seblak Instant Basranger Extra Pedas Daun Jeruk (200gr)",19700,"Gerai Snack Official Shop","Kab. Tangerang","4.9",100
152,"Seblak Instan Bandung Pedas Jeletot/Seblak Basah Kemasan Murah",8000,"Mutiara snack store","Tasikmalaya","4.9",1000
153,"Seblak Instan",8000,"ROEMAH MOSLEM","Kab. Boyolali","5",60
154,"Seblak Rempah Instan Maknyoss",25000,"BOCI MAKNYOSS OFFICIAL","Kab. Batang","NaN",3
155,"Rasa Juara Seblak Original Instan | Seblak Juara Original 130gr",15955,"Wu Meyers Official Shop","Surabaya","5",0
156,"SEBLAK INSTAN SIAP SAJI",15897,"nyemilsaji","Kab. Bandung","4.9",1000
157,"seblak instan parahiyangan",700000,"parminshopedia","Kab. Bandung Barat","5",13
158,"Seblak Instan BABA Semua Variant (3pcs)",50000,"Basrengbaba","Kab. Bandung","4.9",19
159,"SEBLAK INSTANT HALU - SEBLAK MIE HALU - EMAK INDAH FOOD",19999,"Pempek Emak Indah","Jakarta Barat","4.7",250
160,"Bumbu Serbaguna & Indomie Untuk Cuanki, Seblak,  Mie Instan Kuah  / Goreng 50 - 100gram",12000,"Cestlavie olshop","Tangerang","5",0
161,"seblak instan tasikmalaya",3500,"Seblakinstanofficial","Tasikmalaya","3.5",50
162,"Seblak Instan BABA Variant Makaroni",18000,"Basrengbaba","Kab. Bandung","NaN",5
163,"seblak instan",4950,"sambalquw","Kab. Bantul","4.7",70
164,"Seblak Instan Murah",3000,"Pawon Berkahh","Kab. Demak","NaN",0
165,"SiBumbu Bumbu Seblak Instan Berat 15gr",2210,"Kulakan Sini Aja","Bekasi","4.7",30
166,"Baso Aci Bapper Tulang Rangu Original Asli Bandung 220gr",25800,"Foodstocks","Jakarta Selatan","NaN",2000
167,"Baso Aci Instan Cuanki Murah baso aci khas bandung MIE BANDUNG ACHEN",5000,"Mie Bandung Achen","Kab. Bandung Barat","NaN",7
168,"cemilan phang phang 250",17000,"oke snack","Jakarta Selatan","NaN",500
169,"Jelly Cendol Dawet Kecebong Hijau 500 Gram | Instan Siap Saji | Tanpa Perlu Dimasak | Untuk Topping Minuman | Popping Boba Nata Jelly",21980,"Popping Boba Nata Jelly","Bandung","NaN",6
170,"Cilokba Black Hot (Sambel Ireng) Cilok Baso Bakso Aci Bapper",16800,"Foodstocks","Jakarta Selatan","NaN",70
171,"Cendol Keju 50 g",6500,"oke snack","Jakarta Selatan","NaN",500
172,"Lumpia Semarang Vacuum *Halal* - Luar Jakarta",83600,"LumpiaSemarang.JKT","Jakarta Selatan","NaN",750
173,"Mie Lebar homemade FULL BUMBU DAN DAGING MIE BANDUNG ACHEN mie frozen yamin yamien 100%halal",21000,"Mie Bandung Achen","Kab. Bandung Barat","NaN",5
174,"Siwang Jafit Terasi Bawang",25000,"Gerai Singawada","Kab. Majalengka","NaN",30
175,"Mie kecil homemade FULL BUMBU DAN DAGING MIE BANDUNG ACHEN mie frozen yamin yamien 100%halal",20000,"Mie Bandung Achen","Kab. Bandung Barat","NaN",10
176,"seblak bapper instan",23000,"JAJANAN_MAKASSAR","Makassar","5",24
177,"Seblak Instan Garoet",4000,"Dapoer Nyingkur","Kab. Garut","5",20
178,"Baso Aci GEPREK Seblak GEPREK boci instant samiraos boci geprek tulang",17999,"Pusat Baso Aci","Surabaya","4.9",80
179,"BUMBU DASAR SEBLAK INSTAN UNTUK MEMASAK HOMEMADE NON MSG 200g",15900,"CV UNION 77","Surabaya","NaN",0
180,"Seblak instan bumbu basah",6500,"KenyangSehat","Surabaya","5",13
181,"Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak",18900,"Foodstocks","Jakarta Selatan","NaN",90
182,"Mie lebar homemade DENGAN BUMBU MIE BANDUNG ACHEN mentah mie frozen yamin yamien 100%halal",11000,"Mie Bandung Achen","Kab. Bandung Barat","NaN",0
183,"Snack Benteur Crispy Cemilan Ikan",26500,"Gerai Singawada","Kab. Majalengka","NaN",30
184,"Geli Food Mie Goreng Seblak Jontor",18900,"Foodstocks","Jakarta Selatan","NaN",0
185,"Kopi Bubuk Arabika Natural Majalengka",38000,"Gerai Singawada","Kab. Majalengka","NaN",7
186,"seblak bintang,cemilan instan,siap makan,enak gurih,dan lezat",5000,"anugrah seblak","Kab. Bandung","4.7",500
187,"seblak instan",7000,"keripik_dapurbiru","Pekanbaru","4.8",50
188,"SEBLAK CIMOL KERING PEDAS INSTAN SEBLAK KILOAN KERUPUK SEBLAK PEDAS",8999,"SNACK_KEDIRI28","Kab. Kediri","5",9
189,"paket seblak instan 12bks paket usaha seblak instan 12pcs paket seblak",38999,"nayismail","Cimahi","4.3",9
190,"Seblak Instant Pedas",9800,"Gadsa Online Shop","Tangerang Selatan","5",100
191,"BASO ACI INSTAN // TERMURAH!!! // BAKSO ACI // SEBLAK (luar kota pilih kemasan vakum)",7999,"RumahcemilanBjm","Banjarmasin","NaN",0
192,"12pcs, Baso aci mini mix Seblak instan",49000,"Lemburkuring Official","Kab. Garut","5",2
193,"bumbu seblak instan 150gr/original/halal",6899,"keanashop05","Tangerang","5",1
194,"Seblak instan mama ucit",5000,"mr _al-madani","Bandung","NaN",0
195,"seblak instan",7200,"basoacisikiki","Kab. Sleman","5",19
196,"Geli Food Mie Kuah Seblak Jontor",18900,"Foodstocks","Jakarta Selatan","NaN",1
197,"Seblak Pedas Kicimpring Iyagasih",15000,"Gerai Singawada","Kab. Majalengka","NaN",13
198,"10 Pcs MINI Lumpia Semarang Vacuum *Halal* - Luar Jakarta",105600,"LumpiaSemarang.JKT","Jakarta Selatan","NaN",100
199,"Cemilan Stik Kentang Aghnia Potato Snack",18500,"Gerai Singawada","Kab. Majalengka","NaN",1
200,"Cilokba Cilok Bapper Rasa Sambal Daun Jeruk",18060,"Foodstocks","Jakarta Selatan","NaN",100
201,"BUNDLING TWIN BASO ACI + SEBLAK INSTAN SAJODO SNACK & FOOD",46000,"Sajodo Snack & Food","Tasikmalaya","NaN",0
202,"INDOMIE MI INSTANT RASA SEBLAK HOT JELET",2900,"Hypermart Cirebon","Cirebon","4.9",100
203,"[BARU] Makanan Seblak Instan Ekonomis Dengan Variasi Toping Enak Berkualitas",5900,"Better Land","Bogor","NaN",0
204,"Cancimen Seblak Instant Pedas Original - Khas Bandung Gurih dan Pedas",15300,"Zanana Official Store","Bandung","5",30
205,"seblak instan MORBII paket 15 bungkus enak gurih pedas komplit bumbu",81000,"RR Bag II","Jakarta Barat","NaN",1
206,"[TERMURAH] SEBLAK instan gundik bandung",9000,"Arkadewi11","Jakarta Selatan","NaN",0
207,"[PROMO!!] Seblak Instant Mommy 100 gram - Cemilan nikmat termurah",19999,"JM Snacks","Bandung","5",90
208,"Seblak KANE Instan",21999,"Boci (Baso Aci) Kedamaian BDL","Bandar Lampung","NaN",2
209,"Seblak Instant Kabita Komplit Rempah Viral Bandung | Sukasari Snack",24000,"SUKASARI","Bandung","5",1
210,"Seblak instan isi 12 Bks Super Lengkap",31000,"Agoeztyachya Online Shop","Kab. Garut","NaN",0
211,"Emping Manis Pedas Majalengka",18000,"Gerai Singawada","Kab. Majalengka","NaN",21
212,"Dodol Buah Mangga Gedong Gincu",25000,"Gerai Singawada","Kab. Majalengka","NaN",20
213,"Kerupuk Emping Mentah Ciping",23500,"Gerai Singawada","Kab. Majalengka","NaN",5
214,"Lakoca Cuanki Instan Pertama Lakoca - 3 Menit Siap Santap!",16618,"Lakoca Official Shop","Cimahi","NaN",1000
215,"paket hemat 12pcs cuanki instan si Buhun",45000,"Cuanki BM Al kahfi","Kab. Garut","NaN",0
216,"SEBLAK Hemat Instant / Seblak Instan Nyakrek",8900,"Nyakrek Baso Aci","Kab. Bandung","4.9",250
217,"SEBLAK KOKO INSTANT KEMASAN POUCH SIAP SAJI BISA KIRIM KELUAR KOTA",22499,"Ummu Balqis Frozen Mitra Resmi Malang (DONAT TEKWAN PEMPEK)","Malang","5",15
218,"SEBLAK INSTAN BANDUNG KUAH PEDAS",5000,"CraftFla","Tangerang Selatan","5",15
219,"seblak instan gundik cup",8599,"TokoTemenMakan","Kab. Bandung","4.5",100
220,"Seblak Juara Instan Bandung 140 gram ( Rendang & Original )",22000,"HARI-Harapan Indah","Makassar","NaN",2
221,"Bakso Aci Seblak Mie instant baso kekinian halal murah enak",6999,"Maya Light Electro","Tangerang","4.7",60
222,"seblak instan masabi",8000,"baso aci masabi","Jakarta Selatan","4.8",250
223,"seblak instant komplit",5900,"ADDARSNACK","Kab. Cianjur","4.9",30
224,"* SEBLAK INSTAN PREMIUM BANGSATRIA (PAKET 2 BKS) ORGANIK PEDAS ALAMI *",45000,"OMAH STORE21","Jakarta Selatan","NaN",0
225,"Seblak Cilok Merapi Instan Jajanan Oleh Oleh Termurah Bandung",20000,"DVA fashion and beauty","Bandung","5",5
226,"Seblak Instan Seafood Dumpling Isian Komplit",10999,"SukaKarbo","Kab. Gresik","NaN",0
227,"Seblak Instan komplit",9000,"Suncity.","Kab. Tangerang","4.8",250
228,"Seblak Instant Basranger Extra Pedas Daun Jeruk Porsi Banyak",16625,"Foodstocks","Jakarta Selatan","5",25
229,"Terlaris! MIX 4 BASO ACI, 4 SEBLAK INSTAN, 4 CUANKI INSTAN ABAH ACENG",58000,"Toko Fahmi99","Jakarta Timur","NaN",0
230,"baso aci boci instan maci eco ayam, keju, seblak",9799,"snackbox88","Bekasi","5",250
231,"Seblak instan 10 bungkus, TERMURAH KOMPLIT enak lezat bergizi",35000,"0410","Kab. Garut","NaN",0
232,"Seblak Instan Seblak Nampol Original Topping HALAL 100%",6999,"semesta shop solo","Kab. Klaten","NaN",0
233,"Seblak Instan Jontor Plus Bumbu Kencur - Seblak Pedas Medok",8100,"snackbox88","Bekasi","5",100
234,"SEBLAK INSTAN MANG MUSS",14999,"Seblak Mang Muss","Tasikmalaya","4.9",750
235,"YIMS seblak instant pedas napol termurah khas garut kerupuk seblak teh",4125,"Yimshop","Semarang","4.7",250
236,"PAKET BUNDLING HEMAT 12  (6 pcs seblak 6pcs baso aci ) MAKANAN INSTAN mie food Kaldu Pedas Ayam",50400,"Uai Food","Surabaya","NaN",0
237,"INDOMIE MI KUAH SEBLAK HOT JELETOT HYPE ABIS MIE INSTAN 75 G GR 75GR",3300,"Nemo Mart Official","Surabaya","4.9",100
238,"baso aci keju, boci, bakso aci, cuanki, seblak instan",10000,"baso aci masabi","Jakarta Selatan","5",100
239,"seblak instan ksn",12000,"Dilla frozen","Jakarta Pusat","5",4
